jobID,cores,memory,CPU time,time,datfile,datdist seed,Npoints,Nwout,model,input_size,hidden_size,output_size,num_layers,Nparams,nT,optimizer,Nepochs,shuffle,LR,final epochs,epoch min VAL,RMSE tra,RMSE val,RMSE tes,RMSE ftes,R tra,R val,R tes,R ftes
34503,8,193.81 MB,00:09:49,00:01:25,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1938,0.0826456623445277,0.0980393302911355,0.1253323704004287,0.0885482802987098,0.9726653972576498,0.967090564727081,0.9348058437581606,0.9695336895103122
34504,8,191.33 MB,00:09:47,00:01:25,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1994,0.0831275108833193,0.0958695630151138,0.123005136847496,0.0851873308420181,0.9723284188541194,0.9684095850559448,0.9372295989180334,0.9716702039124052
34505,8,193.29 MB,00:10:20,00:01:28,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,949,0.0867606754673742,0.1056361439830332,0.1181971579790115,0.0868697389960289,0.9700419297663544,0.9614234305870932,0.9421579499170456,0.9706885843515652
34506,8,193.25 MB,00:09:52,00:01:26,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1993,0.0822819931407387,0.0972583676498072,0.1186781749129295,0.0843823179602623,0.9729258237446112,0.9676109839882032,0.9418879322964424,0.9722707229796368
34507,8,193.32 MB,00:09:49,00:01:25,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1877,0.071288411639696,0.0877325263573273,0.1381284445524215,0.0846686661243438,0.9795041938670784,0.973428423554596,0.92313678260572,0.9717874424451038
34508,8,191.31 MB,00:09:53,00:01:26,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1982,0.0701789913643646,0.0875844988715953,0.13968026638031,0.0859499424695968,0.9801382478871504,0.973672878918076,0.9228805759988328,0.971118621967647
34509,8,193.53 MB,00:10:33,00:01:31,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,359,0.0869159611032867,0.1023479919662686,0.1169659122824668,0.0871898978948593,0.9695344735591436,0.9644231089493036,0.943541115282796,0.970245573686658
34510,8,189.37 MB,00:09:43,00:01:24,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1971,0.0797246374207358,0.0953174827901936,0.1257136464118957,0.0852145925164222,0.9745385670431126,0.9687118069110564,0.9342829339284114,0.9715646845295068
34511,8,193.33 MB,00:09:48,00:01:25,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,1328,0.0710152410766734,0.0877959383354504,0.1325336098670959,0.0823455154895782,0.9796747120698,0.9735280287186224,0.9294422899372544,0.9733504965709728
34512,8,193.31 MB,00:09:48,00:01:25,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,LSTMModel,1,2,1,1,43,20,Adam,2000,True,0.001,2000,855,0.0822742892637401,0.096953509395884,0.1266435980796814,0.0841293111443519,0.972666926904912,0.967547553018292,0.9332749745934744,0.9721217700780403
