jobID,cores,memory,CPU time,time,datfile,datdist seed,Npoints,Nwout,model,input_size,hidden_size,output_size,num_layers,Nparams,nT,optimizer,Nepochs,shuffle,LR,final epochs,epoch min VAL,RMSE tra,RMSE val,RMSE tes,RMSE ftes,R tra,R val,R tes,R ftes
34427,8,187.07 MB,00:02:24,00:02:36,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1908,0.0146807000865467,0.0225277496285867,0.007538114208728,0.0067746713757514,0.9966746670979868,0.990081285227773,0.9932396205746806,0.995651854192366
34427,8,187.07 MB,00:02:24,00:02:36,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1908,0.0146807000865467,0.0225277496285867,0.007538114208728,0.0067746713757514,0.9966746670979868,0.990081285227773,0.9932396205746806,0.995651854192366
34428,8,185.13 MB,00:02:23,00:02:47,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1138,0.0109613937037758,0.0165632572901207,0.0059233400970697,0.0065825614146888,0.9984922281186068,0.9944307828831208,0.998486012379726,0.9979948279841356
34429,8,185.13 MB,00:02:24,00:02:46,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1953,0.0100224519596713,0.0147042069182308,0.006367843132466,0.0078110778704285,0.9989466778458606,0.9956023554952376,0.9983011466019858,0.997772487280279
34430,8,187.05 MB,00:02:25,00:02:46,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1986,0.0183832827604389,0.0206141194293105,0.0081541454419493,0.0089558977633714,0.997317853794072,0.9915296937518834,0.9978873995849132,0.9968205571822848
34431,8,185.15 MB,00:02:24,00:02:46,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,2000,0.0148554463868531,0.0225210801337173,0.0098145855590701,0.0100239012390375,0.9964174926358778,0.9899028280875406,0.997214241914486,0.996178771580486
34432,8,187.22 MB,00:02:23,00:02:46,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1987,0.0160627364953057,0.0214897418803264,0.0061460006982088,0.0058038216084241,0.996221593915911,0.9906033290412752,0.9949012875542208,0.9958149882603644
34433,8,189.10 MB,00:02:24,00:02:46,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1264,0.0129881732237581,0.0145404496011375,0.0069684735499322,0.0081264320760965,0.999086281720066,0.9957051961157468,0.9990338474095944,0.9986168747125482
34434,8,187.11 MB,00:02:25,00:02:36,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1924,0.0072241162328456,0.0147556626533171,0.0040550399571657,0.0057426230050623,0.9993420889087662,0.9955640596178924,0.9976307570058798,0.9966986483468566
34435,8,188.95 MB,00:02:24,00:02:36,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,1980,0.0098616617825225,0.0144613293544766,0.0058080465532839,0.0068232836201786,0.9989850532436704,0.99573526866416,0.9986716545634284,0.9982257527516716
