jobID,cores,memory,CPU time,time,client,datfile,datdist seed,Npoints,Nwout,model,nT,nE,nM,nL,nx,Nparam,rnd seed,optimizer,Nepochs,grad,shuffle,LR,Nshots,final epochs,epoch min VAL,Ncev/w,Ncev,RMSE tra,RMSE val,RMSE tes,RMSE ftes,normalization,R tra,R val,R tes,R ftes
34304,30,2.32 GB (estimated maximum),14:03:12,04:45:42,"<Client: 'tcp://10.5.7.4:10017' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34304,<pennylane.optimize.adam.AdamOptimizer object at 0x1471cbf82d40>,2000,False,True,0.001,0,2000,1974,39,2496,0.0596115590788439,0.1002055150477965,0.1122973428819865,0.0960309748611829,1.0,0.9428176175722388,0.8300928980505704,0.8551928601093639,0.8912499281335678
34307,30,2.35 GB (estimated maximum),14:13:54,04:46:37,"<Client: 'tcp://10.5.7.6:10026' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34307,<pennylane.optimize.adam.AdamOptimizer object at 0x14a21eff2d40>,2000,False,True,0.001,0,2000,1953,39,2496,0.0565696571529933,0.0997104729706555,0.1097129718273545,0.0907232614610847,1.0,0.9478772698576656,0.8279188330039018,0.8648768236548405,0.9027004063381846
34357,30,2.32 GB (estimated maximum),14:03:34,04:45:23,"<Client: 'tcp://10.5.7.6:10035' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34357,<pennylane.optimize.adam.AdamOptimizer object at 0x154bfedead40>,2000,False,True,0.001,0,2000,1943,39,2496,0.0554556689695235,0.0983422920657576,0.1088014193958169,0.09153327868179,1.0,0.9504062381721134,0.8330753655030023,0.8640369666119542,0.9017978030957008
34361,30,2.34 GB (estimated maximum),14:09:10,04:49:04,"<Client: 'tcp://10.5.7.7:10044' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34361,<pennylane.optimize.adam.AdamOptimizer object at 0x14a4a54cad40>,2000,False,True,0.001,0,2000,1858,39,2496,0.0561112727137663,0.0919599631262969,0.1049608392144113,0.0887455965164871,1.0,0.9486018394489708,0.8589090556482124,0.8763247582617046,0.9083199230182556
34362,30,2.35 GB (estimated maximum),14:05:17,04:48:12,"<Client: 'tcp://10.5.7.7:10053' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34362,<pennylane.optimize.adam.AdamOptimizer object at 0x14821ea7ed40>,2000,False,True,0.001,0,2000,1674,39,2496,0.0520293792938229,0.089847624496376,0.1024386395324118,0.0867684827926495,1.0,0.9570531976596948,0.8658596132572111,0.8829339798058393,0.9121216901246952
34364,30,2.34 GB (estimated maximum),14:04:02,04:47:51,"<Client: 'tcp://10.5.7.8:10080' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34364,<pennylane.optimize.adam.AdamOptimizer object at 0x14d055f9ed40>,2000,False,True,0.001,0,2000,1970,39,2496,0.0537659945192474,0.0971001437560793,0.1072897451989812,0.0886608551205937,1.0,0.95377903894466,0.8401745280235438,0.873081155412402,0.907934178110377
34365,30,2.33 GB (estimated maximum),14:09:43,04:46:32,"<Client: 'tcp://10.5.7.8:10089' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34365,<pennylane.optimize.adam.AdamOptimizer object at 0x14b61f0fed40>,2000,False,True,0.001,0,2000,1991,39,2496,0.0549995654794922,0.0958153857589831,0.1075859805731882,0.0877549975174715,1.0,0.9516494636605032,0.8429319165792141,0.8693357267407199,0.9111539306621166
34366,30,2.35 GB (estimated maximum),14:08:04,04:46:11,"<Client: 'tcp://10.5.7.9:10071' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34366,<pennylane.optimize.adam.AdamOptimizer object at 0x14a26b2ced40>,2000,False,True,0.001,0,2000,1454,39,2496,0.051503121998636,0.0915026925204725,0.1058460128965283,0.0869114081323213,1.0,0.9559330538466184,0.8574841449768222,0.8742273549450303,0.9110051816128332
34367,30,2.34 GB (estimated maximum),14:09:45,04:47:54,"<Client: 'tcp://10.5.7.9:10062' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34367,<pennylane.optimize.adam.AdamOptimizer object at 0x1520c978ad40>,2000,False,True,0.001,0,2000,1940,39,2496,0.054693812577215,0.0955403107943685,0.1089686706849493,0.0883514328570045,1.0,0.9501110134216386,0.8427043719986478,0.8647568273489812,0.9078502218836234
34368,30,2.35 GB (estimated maximum),14:16:06,04:47:11,"<Client: 'tcp://10.5.7.10:10098' processes=8 threads=8, memory=68.66 GiB>",data_santafe5.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34368,<pennylane.optimize.adam.AdamOptimizer object at 0x149b7104ed40>,2000,False,True,0.001,0,2000,1888,39,2496,0.0560673920437464,0.0933612356055385,0.1105128467464576,0.0902514962024982,1.0,0.9498768428757146,0.8544631815641353,0.8601047000862209,0.9057999196075772
