==> Loss (RMSE)       0    0.184694   0.191403
==> Loss (RMSE)       1    0.169663   0.179782
==> Loss (RMSE)       2    0.159620   0.172058
==> Loss (RMSE)       3    0.151552   0.166085
==> Loss (RMSE)       4    0.146162   0.161643
==> Loss (RMSE)       5    0.142499   0.159144
==> Loss (RMSE)       6    0.138850   0.157125
==> Loss (RMSE)       7    0.137252   0.156920
==> Loss (RMSE)       8    0.131705   0.152288
==> Loss (RMSE)       9    0.128461   0.150047
==> Loss (RMSE)      10    0.125290   0.147637
==> Loss (RMSE)      11    0.122543   0.146125
==> Loss (RMSE)      12    0.121002   0.144874
==> Loss (RMSE)      13    0.119516   0.143667
==> Loss (RMSE)      14    0.118250   0.143187
==> Loss (RMSE)      15    0.117186   0.142614
==> Loss (RMSE)      16    0.116770   0.142968
==> Loss (RMSE)      17    0.115465   0.142176
==> Loss (RMSE)      18    0.114772   0.141923
==> Loss (RMSE)      19    0.114150   0.142012
==> Loss (RMSE)      20    0.113778   0.142622
==> Loss (RMSE)      21    0.113563   0.142504
==> Loss (RMSE)      22    0.112523   0.142313
==> Loss (RMSE)      23    0.112932   0.142912
==> Loss (RMSE)      24    0.111611   0.142573
==> Loss (RMSE)      25    0.111790   0.143120
==> Loss (RMSE)      26    0.110903   0.142299
==> Loss (RMSE)      27    0.110387   0.143793
==> Loss (RMSE)      28    0.109988   0.142833
==> Loss (RMSE)      29    0.109712   0.143689
==> Loss (RMSE)      30    0.109250   0.143078
==> Loss (RMSE)      31    0.109178   0.143148
==> Loss (RMSE)      32    0.108529   0.143236
==> Loss (RMSE)      33    0.108173   0.143161
==> Loss (RMSE)      34    0.108100   0.143371
==> Loss (RMSE)      35    0.108089   0.145128
==> Loss (RMSE)      36    0.107500   0.143399
==> Loss (RMSE)      37    0.107186   0.142894
==> Loss (RMSE)      38    0.107040   0.144037
==> Loss (RMSE)      39    0.106847   0.143829
==> Loss (RMSE)      40    0.107093   0.144608
==> Loss (RMSE)      41    0.106564   0.143341
==> Loss (RMSE)      42    0.106187   0.144209
==> Loss (RMSE)      43    0.106233   0.143361
==> Loss (RMSE)      44    0.105731   0.143259
==> Loss (RMSE)      45    0.105774   0.144221
==> Loss (RMSE)      46    0.105754   0.143551
==> Loss (RMSE)      47    0.105389   0.143450
==> Loss (RMSE)      48    0.105289   0.142982
==> Loss (RMSE)      49    0.104990   0.142701
==> Loss (RMSE)      50    0.105031   0.142934
==> Loss (RMSE)      51    0.104606   0.142442
==> Loss (RMSE)      52    0.104839   0.144460
==> Loss (RMSE)      53    0.105122   0.143355
==> Loss (RMSE)      54    0.104144   0.143124
==> Loss (RMSE)      55    0.104409   0.143295
==> Loss (RMSE)      56    0.104085   0.142671
==> Loss (RMSE)      57    0.103773   0.143360
==> Loss (RMSE)      58    0.103816   0.142626
==> Loss (RMSE)      59    0.103715   0.143263
==> Loss (RMSE)      60    0.103463   0.142380
==> Loss (RMSE)      61    0.103544   0.142251
==> Loss (RMSE)      62    0.103325   0.141033
==> Loss (RMSE)      63    0.103134   0.142001
==> Loss (RMSE)      64    0.102934   0.141296
==> Loss (RMSE)      65    0.102864   0.142168
==> Loss (RMSE)      66    0.102789   0.142690
==> Loss (RMSE)      67    0.103140   0.142438
==> Loss (RMSE)      68    0.102927   0.142415
==> Loss (RMSE)      69    0.102433   0.141836
==> Loss (RMSE)      70    0.102755   0.142667
==> Loss (RMSE)      71    0.102216   0.140077
==> Loss (RMSE)      72    0.102317   0.140562
==> Loss (RMSE)      73    0.102184   0.141039
==> Loss (RMSE)      74    0.101769   0.140588
==> Loss (RMSE)      75    0.101773   0.141936
==> Loss (RMSE)      76    0.101557   0.139889
==> Loss (RMSE)      77    0.101507   0.141268
==> Loss (RMSE)      78    0.101385   0.140662
==> Loss (RMSE)      79    0.101334   0.140956
==> Loss (RMSE)      80    0.101443   0.140345
==> Loss (RMSE)      81    0.101105   0.140284
==> Loss (RMSE)      82    0.101393   0.141512
==> Loss (RMSE)      83    0.100877   0.139941
==> Loss (RMSE)      84    0.100848   0.139167
==> Loss (RMSE)      85    0.100760   0.139008
==> Loss (RMSE)      86    0.100962   0.138852
==> Loss (RMSE)      87    0.101096   0.139949
==> Loss (RMSE)      88    0.100507   0.138587
==> Loss (RMSE)      89    0.101070   0.138793
==> Loss (RMSE)      90    0.100676   0.140329
==> Loss (RMSE)      91    0.100551   0.137618
==> Loss (RMSE)      92    0.100610   0.138909
==> Loss (RMSE)      93    0.100269   0.137885
==> Loss (RMSE)      94    0.101201   0.137688
==> Loss (RMSE)      95    0.100226   0.137025
==> Loss (RMSE)      96    0.099973   0.138419
