jobID,cores,memory,CPU time,time,datfile,datdist seed,Npoints,Nwout,model,input_size,hidden_size,output_size,num_layers,Nparams,nT,optimizer,Nepochs,shuffle,LR,final epochs,epoch min VAL,RMSE tra,RMSE val,RMSE tes,RMSE ftes,R tra,R val,R tes,R ftes
34085,8,190.61 MB,00:04:41,00:05:02,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1957.0,0.0146332174506034,0.01548384968514,0.0323398783802986,0.0240007769316434,0.997299431724727,0.9961923085894028,0.9890911909855644,0.9943716561002768
34086,8,187.36 MB,00:04:42,00:05:03,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1606.0,0.0126558690239898,0.017931531322197,0.0265623070299625,0.0190765392035245,0.9975136468430577,0.9953515566457296,0.9935776436649392,0.996275318213928
34087,8,187.35 MB,00:04:43,00:05:03,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1968.0,0.0150167302704676,0.0183096564526752,0.0312323812395334,0.0221107117831707,0.9968817972259923,0.9947082429400204,0.98981647947992,0.995239563437924
34088,8,188.60 MB,00:04:41,00:05:01,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1834.0,0.0130642205346823,0.0105135597203843,0.0279555693268775,0.0182980932295322,0.997620208244298,0.9982533660504987,0.992261294052776,0.9969295221833284
34089,8,185.44 MB,00:04:46,00:05:07,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1974.0,0.0290034399361887,0.0416439487960963,0.0767294913530349,0.063296191394329,0.9872200871884474,0.973765438581589,0.9353069736014472,0.9539804917197222
34090,8,190.69 MB,00:04:41,00:05:01,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1330.0,0.0184612627419784,0.0153575491859077,0.0327033810317516,0.0242554005235433,0.995547525751996,0.9965009469700928,0.989217066180037,0.9947318662411582
34091,8,186.02 MB,00:04:45,00:05:05,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1900.0,0.0122957633030203,0.0159148748859934,0.0259997174143791,0.0195520594716072,0.9977837806584832,0.9961911126680728,0.9928575720681344,0.9959906168709972
34092,8,187.41 MB,00:04:43,00:05:03,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1416.0,0.018139710436011,0.0173297735439478,0.0297101382166147,0.0251464787870645,0.9968443354009988,0.9953486354970628,0.9918021995637256,0.9952320888487748
34093,8,189.33 MB,00:04:43,00:05:03,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1089.0,0.0168548464953449,0.0137476158833513,0.0302457399666309,0.0232941266149282,0.9970731320368024,0.9973307499515304,0.9929551575027654,0.9963865600719494
34094,8,186.38 MB,00:04:45,00:05:05,data_santafe1.dat,4,1980,5,VanillaRNN,1,4,1,1,33,20,Adam,2000,True,0.001,2000.0,1641.0,0.017834164661972,0.0146404290701017,0.0268804468214511,0.0207329634577035,0.9957120521028288,0.9967259175758068,0.9927235154942676,0.996041510378562
