==> Loss (RMSE)       0    0.413435   0.443408
==> Loss (RMSE)       1    0.401459   0.432181
==> Loss (RMSE)       2    0.391996   0.423066
==> Loss (RMSE)       3    0.384988   0.415860
==> Loss (RMSE)       4    0.377429   0.408893
==> Loss (RMSE)       5    0.371621   0.403146
==> Loss (RMSE)       6    0.366573   0.398419
==> Loss (RMSE)       7    0.362270   0.394445
==> Loss (RMSE)       8    0.357612   0.390008
==> Loss (RMSE)       9    0.353961   0.386374
==> Loss (RMSE)      10    0.349818   0.382005
==> Loss (RMSE)      11    0.346622   0.379668
==> Loss (RMSE)      12    0.343618   0.377156
==> Loss (RMSE)      13    0.340718   0.374173
==> Loss (RMSE)      14    0.337764   0.371881
==> Loss (RMSE)      15    0.335698   0.369813
==> Loss (RMSE)      16    0.333087   0.367901
==> Loss (RMSE)      17    0.330643   0.365855
==> Loss (RMSE)      18    0.328637   0.364127
==> Loss (RMSE)      19    0.327100   0.362221
==> Loss (RMSE)      20    0.324975   0.361850
==> Loss (RMSE)      21    0.323085   0.360398
==> Loss (RMSE)      22    0.321986   0.359653
==> Loss (RMSE)      23    0.321079   0.358572
==> Loss (RMSE)      24    0.319756   0.358895
==> Loss (RMSE)      25    0.318588   0.358106
==> Loss (RMSE)      26    0.318331   0.358903
==> Loss (RMSE)      27    0.317172   0.357647
==> Loss (RMSE)      28    0.316743   0.357674
==> Loss (RMSE)      29    0.316181   0.358151
==> Loss (RMSE)      30    0.315873   0.357360
==> Loss (RMSE)      31    0.315558   0.358475
==> Loss (RMSE)      32    0.315158   0.358798
==> Loss (RMSE)      33    0.314781   0.357352
==> Loss (RMSE)      34    0.314594   0.357989
==> Loss (RMSE)      35    0.314137   0.357871
==> Loss (RMSE)      36    0.313981   0.358389
==> Loss (RMSE)      37    0.313930   0.357830
==> Loss (RMSE)      38    0.313652   0.358265
==> Loss (RMSE)      39    0.313576   0.358989
==> Loss (RMSE)      40    0.313307   0.358710
==> Loss (RMSE)      41    0.313445   0.359449
==> Loss (RMSE)      42    0.313077   0.359601
==> Loss (RMSE)      43    0.312948   0.358390
==> Loss (RMSE)      44    0.313240   0.360191
==> Loss (RMSE)      45    0.312773   0.358904
==> Loss (RMSE)      46    0.312836   0.359063
==> Loss (RMSE)      47    0.313012   0.358098
==> Loss (RMSE)      48    0.313624   0.360839
==> Loss (RMSE)      49    0.312264   0.358446
==> Loss (RMSE)      50    0.312308   0.357724
==> Loss (RMSE)      51    0.312103   0.358571
==> Loss (RMSE)      52    0.312050   0.357936
==> Loss (RMSE)      53    0.311831   0.359082
==> Loss (RMSE)      54    0.311744   0.358204
==> Loss (RMSE)      55    0.312041   0.358088
==> Loss (RMSE)      56    0.311567   0.358343
==> Loss (RMSE)      57    0.311537   0.358020
==> Loss (RMSE)      58    0.311569   0.358180
==> Loss (RMSE)      59    0.311394   0.358239
==> Loss (RMSE)      60    0.311237   0.358316
==> Loss (RMSE)      61    0.311073   0.358411
==> Loss (RMSE)      62    0.310977   0.358468
==> Loss (RMSE)      63    0.311251   0.358919
==> Loss (RMSE)      64    0.310897   0.357879
==> Loss (RMSE)      65    0.310780   0.357747
==> Loss (RMSE)      66    0.310611   0.358517
==> Loss (RMSE)      67    0.310529   0.358321
