seed for init 37843
nshots 100
len param0 26
nT=20; nE=1; nM=2; nL=3; nx=3
adam config: LR=0.001000, shuffle=True
==> Loss (RMSE)       0    0.232917   0.297843
==> Loss (RMSE)       1    0.229933   0.290413
==> Loss (RMSE)       2    0.207535   0.301954
==> Loss (RMSE)       3    0.209948   0.275319
==> Loss (RMSE)       4    0.211228   0.259578
==> Loss (RMSE)       5    0.212130   0.281347
==> Loss (RMSE)       6    0.188287   0.265584
==> Loss (RMSE)       7    0.193039   0.254731
==> Loss (RMSE)       8    0.175457   0.229928
==> Loss (RMSE)       9    0.174875   0.218883
==> Loss (RMSE)      10    0.167280   0.260402
==> Loss (RMSE)      11    0.168829   0.233209
==> Loss (RMSE)      12    0.164911   0.213110
==> Loss (RMSE)      13    0.170071   0.244886
==> Loss (RMSE)      14    0.158477   0.205923
==> Loss (RMSE)      15    0.145029   0.218503
==> Loss (RMSE)      16    0.153563   0.214242
==> Loss (RMSE)      17    0.155898   0.200411
==> Loss (RMSE)      18    0.141440   0.186253
==> Loss (RMSE)      19    0.132744   0.190296
==> Loss (RMSE)      20    0.139630   0.164386
==> Loss (RMSE)      21    0.136723   0.173759
==> Loss (RMSE)      22    0.132173   0.160482
==> Loss (RMSE)      23    0.115471   0.185410
==> Loss (RMSE)      24    0.116592   0.161597
==> Loss (RMSE)      25    0.131918   0.177319
==> Loss (RMSE)      26    0.114366   0.135423
==> Loss (RMSE)      27    0.123207   0.134695
==> Loss (RMSE)      28    0.111588   0.130816
==> Loss (RMSE)      29    0.122818   0.150954
==> Loss (RMSE)      30    0.115735   0.130747
==> Loss (RMSE)      31    0.105551   0.134490
==> Loss (RMSE)      32    0.108159   0.132812
==> Loss (RMSE)      33    0.112627   0.145255
==> Loss (RMSE)      34    0.111096   0.121395
==> Loss (RMSE)      35    0.104899   0.131939
==> Loss (RMSE)      36    0.114461   0.104297
==> Loss (RMSE)      37    0.106030   0.151206
==> Loss (RMSE)      38    0.118505   0.134760
==> Loss (RMSE)      39    0.115056   0.131859
==> Loss (RMSE)      40    0.113658   0.148543
==> Loss (RMSE)      41    0.112156   0.126565
==> Loss (RMSE)      42    0.110642   0.131069
==> Loss (RMSE)      43    0.105932   0.109149
==> Loss (RMSE)      44    0.101973   0.086721
==> Loss (RMSE)      45    0.099555   0.140242
==> Loss (RMSE)      46    0.112897   0.111007
==> Loss (RMSE)      47    0.105509   0.150179
==> Loss (RMSE)      48    0.099246   0.118928
==> Loss (RMSE)      49    0.093529   0.121200
==> Loss (RMSE)      50    0.110886   0.141644
==> Loss (RMSE)      51    0.098412   0.128185
==> Loss (RMSE)      52    0.116218   0.101336
==> Loss (RMSE)      53    0.108759   0.104326
==> Loss (RMSE)      54    0.100371   0.117401
==> Loss (RMSE)      55    0.103236   0.128021
==> Loss (RMSE)      56    0.103906   0.130607
==> Loss (RMSE)      57    0.103019   0.134644
==> Loss (RMSE)      58    0.101933   0.128105
==> Loss (RMSE)      59    0.113647   0.116100
==> Loss (RMSE)      60    0.104929   0.128111
==> Loss (RMSE)      61    0.099566   0.154202
==> Loss (RMSE)      62    0.104178   0.146474
==> Loss (RMSE)      63    0.112674   0.103902
==> Loss (RMSE)      64    0.108682   0.139599
==> Loss (RMSE)      65    0.108378   0.132955
==> Loss (RMSE)      66    0.098780   0.106862
==> Loss (RMSE)      67    0.107314   0.133059
==> Loss (RMSE)      68    0.118731   0.110785
==> Loss (RMSE)      69    0.108765   0.125474
==> Loss (RMSE)      70    0.104896   0.130488
==> Loss (RMSE)      71    0.121636   0.134999
==> Loss (RMSE)      72    0.110792   0.128763
==> Loss (RMSE)      73    0.109348   0.110195
==> Loss (RMSE)      74    0.107854   0.097774
==> Loss (RMSE)      75    0.107995   0.105907
==> Loss (RMSE)      76    0.100741   0.109952
==> Loss (RMSE)      77    0.104548   0.120852
==> Loss (RMSE)      78    0.115248   0.122719
==> Loss (RMSE)      79    0.120769   0.102444
==> Loss (RMSE)      80    0.109427   0.125621
==> Loss (RMSE)      81    0.105620   0.115330
==> Loss (RMSE)      82    0.100888   0.116912
==> Loss (RMSE)      83    0.101411   0.132137
==> Loss (RMSE)      84    0.106053   0.120007
==> Loss (RMSE)      85    0.106991   0.131383
==> Loss (RMSE)      86    0.110319   0.127514
==> Loss (RMSE)      87    0.107624   0.139414
==> Loss (RMSE)      88    0.115670   0.119583
==> Loss (RMSE)      89    0.104738   0.120485
==> Loss (RMSE)      90    0.117662   0.106567
==> Loss (RMSE)      91    0.114684   0.099735
==> Loss (RMSE)      92    0.098325   0.143920
==> Loss (RMSE)      93    0.114956   0.110879
==> Loss (RMSE)      94    0.089702   0.104415
==> Loss (RMSE)      95    0.112199   0.120970
==> Loss (RMSE)      96    0.103025   0.112993
==> Loss (RMSE)      97    0.098692   0.109706
==> Loss (RMSE)      98    0.100729   0.104478
==> Loss (RMSE)      99    0.116106   0.087431
==> Loss (RMSE)     100    0.100919   0.119276
==> Loss (RMSE)     101    0.109333   0.093250
==> Loss (RMSE)     102    0.103330   0.133770
==> Loss (RMSE)     103    0.102888   0.118196
==> Loss (RMSE)     104    0.101031   0.124932
==> Loss (RMSE)     105    0.110921   0.119592
==> Loss (RMSE)     106    0.095791   0.111372
==> Loss (RMSE)     107    0.115984   0.122032
==> Loss (RMSE)     108    0.104137   0.135089
==> Loss (RMSE)     109    0.110604   0.140543
==> Loss (RMSE)     110    0.106367   0.116523
==> Loss (RMSE)     111    0.106280   0.098947
==> Loss (RMSE)     112    0.109068   0.120410
==> Loss (RMSE)     113    0.107366   0.133001
==> Loss (RMSE)     114    0.107678   0.145757
==> Loss (RMSE)     115    0.101518   0.112581
==> Loss (RMSE)     116    0.108675   0.109698
==> Loss (RMSE)     117    0.096046   0.119923
==> Loss (RMSE)     118    0.107345   0.119969
==> Loss (RMSE)     119    0.108856   0.120476
==> Loss (RMSE)     120    0.101614   0.111887
==> Loss (RMSE)     121    0.107226   0.134591
==> Loss (RMSE)     122    0.107626   0.127871
==> Loss (RMSE)     123    0.107023   0.117221
==> Loss (RMSE)     124    0.087406   0.093533
==> Loss (RMSE)     125    0.117728   0.110908
==> Loss (RMSE)     126    0.106248   0.127124
==> Loss (RMSE)     127    0.090797   0.109565
==> Loss (RMSE)     128    0.103246   0.121762
==> Loss (RMSE)     129    0.110858   0.116504
==> Loss (RMSE)     130    0.100466   0.102939
==> Loss (RMSE)     131    0.110057   0.119474
==> Loss (RMSE)     132    0.104193   0.111174
==> Loss (RMSE)     133    0.106452   0.131120
==> Loss (RMSE)     134    0.107566   0.117817
==> Loss (RMSE)     135    0.105323   0.091559
==> Loss (RMSE)     136    0.108919   0.093553
==> Loss (RMSE)     137    0.094081   0.129191
==> Loss (RMSE)     138    0.097434   0.120305
==> Loss (RMSE)     139    0.115732   0.124520
==> Loss (RMSE)     140    0.112242   0.109070
==> Loss (RMSE)     141    0.103658   0.111538
==> Loss (RMSE)     142    0.104029   0.121839
==> Loss (RMSE)     143    0.105569   0.103521
==> Loss (RMSE)     144    0.104876   0.109494
==> Loss (RMSE)     145    0.110650   0.089014
==> Loss (RMSE)     146    0.104832   0.128998
==> Loss (RMSE)     147    0.106375   0.128215
==> Loss (RMSE)     148    0.107073   0.101113
==> Loss (RMSE)     149    0.100829   0.101043
==> Loss (RMSE)     150    0.091527   0.105400
==> Loss (RMSE)     151    0.111818   0.124302
==> Loss (RMSE)     152    0.118457   0.127337
==> Loss (RMSE)     153    0.104815   0.119225
==> Loss (RMSE)     154    0.092602   0.099520
==> Loss (RMSE)     155    0.101614   0.146576
==> Loss (RMSE)     156    0.109324   0.138738
==> Loss (RMSE)     157    0.106019   0.096665
==> Loss (RMSE)     158    0.104546   0.111137
==> Loss (RMSE)     159    0.096615   0.122397
==> Loss (RMSE)     160    0.115271   0.121157
==> Loss (RMSE)     161    0.106858   0.111777
==> Loss (RMSE)     162    0.110451   0.092159
==> Loss (RMSE)     163    0.101057   0.113746
==> Loss (RMSE)     164    0.100896   0.131345
==> Loss (RMSE)     165    0.102389   0.129613
==> Loss (RMSE)     166    0.098861   0.107602
==> Loss (RMSE)     167    0.102848   0.130292
==> Loss (RMSE)     168    0.104879   0.145614
==> Loss (RMSE)     169    0.100214   0.086119
==> Loss (RMSE)     170    0.099244   0.104300
==> Loss (RMSE)     171    0.103552   0.136552
==> Loss (RMSE)     172    0.105171   0.141813
==> Loss (RMSE)     173    0.087216   0.138848
==> Loss (RMSE)     174    0.097553   0.108381
==> Loss (RMSE)     175    0.100722   0.117353
==> Loss (RMSE)     176    0.102265   0.119834
==> Loss (RMSE)     177    0.106890   0.113433
==> Loss (RMSE)     178    0.104090   0.125716
==> Loss (RMSE)     179    0.096964   0.109336
==> Loss (RMSE)     180    0.105587   0.131280
==> Loss (RMSE)     181    0.094339   0.130326
==> Loss (RMSE)     182    0.101851   0.134990
==> Loss (RMSE)     183    0.097999   0.122856
==> Loss (RMSE)     184    0.108271   0.107290
==> Loss (RMSE)     185    0.099465   0.117114
==> Loss (RMSE)     186    0.106961   0.112187
==> Loss (RMSE)     187    0.106652   0.099884
==> Loss (RMSE)     188    0.111180   0.116642
==> Loss (RMSE)     189    0.101746   0.114824
==> Loss (RMSE)     190    0.103128   0.095838
==> Loss (RMSE)     191    0.109554   0.132477
==> Loss (RMSE)     192    0.107659   0.118650
==> Loss (RMSE)     193    0.106034   0.128180
==> Loss (RMSE)     194    0.097061   0.130545
==> Loss (RMSE)     195    0.098837   0.077430
==> Loss (RMSE)     196    0.092583   0.124636
==> Loss (RMSE)     197    0.102301   0.146497
==> Loss (RMSE)     198    0.108321   0.113630
==> Loss (RMSE)     199    0.104973   0.092295
==> Loss (RMSE)     200    0.089475   0.110516
==> Loss (RMSE)     201    0.099335   0.108900
==> Loss (RMSE)     202    0.100812   0.119600
==> Loss (RMSE)     203    0.101840   0.107606
==> Loss (RMSE)     204    0.103768   0.102991
